mid,x,y,z,xxx,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,sgz
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,89,70,81,56.17,17,12.00,-3.00,-1006.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,89,70,81,56.12,17,-5.00,3.00,-1016.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,89,70,81,56.19,17,-1.00,-27.00,-982.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,89,70,81,56.16,17,-1.00,11.00,-997.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,89,70,81,56.12,18,9.00,-26.00,-990.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.13,18,-15.00,2.00,-1002.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.15,18,-12.00,13.00,-1005.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.16,18,-13.00,3.00,-1009.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.17,18,6.00,3.00,-1022.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.11,18,0.00,2.00,-1003.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.16,18,-6.00,-26.00,-969.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.12,18,-18.00,-4.00,-998.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.17,18,7.00,-2.00,-1004.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.18,18,-13.00,-19.00,-985.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.20,19,9.00,-7.00,-985.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.16,19,18.00,-7.00,-991.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.21,19,1.00,-3.00,-1007.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.14,19,3.00,9.00,-1015.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.12,19,13.00,-3.00,-1016.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,89,70,81,56.18,19,24.00,-5.00,-1000.00,
